phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
289,8640,59,0.006828703704,11,0,0,0,0,0,0,0,0,false
290,8640,58,0.006712962963,14,2,0,0,0,0,0,0,0,false
291,8640,66,0.007638888889,18,2,1,1,0,0,0,0,0,false
292,8640,40,0.00462962963,8,0,0,0,0,0,0,0,0,false
293,8640,65,0.007523148148,9,1,1,1,0,0,0,0,0,false
294,8640,56,0.006481481481,20,2,2,1,1,1,0,0,0,false
295,8640,65,0.007523148148,14,0,0,0,0,0,0,0,0,false
296,8640,58,0.006712962963,10,0,0,0,0,0,0,0,0,false
297,8640,63,0.007291666667,12,1,0,0,0,0,0,0,0,false
298,8640,69,0.007986111111,14,0,0,0,0,0,0,0,0,false
299,8640,8136,0.9416666667,16,4,0,0,0,0,0,0,0,true
